,name,polars,labels
0,1l_2n-1,"[(91.0, 1.2217304763960306)]","[(140.0, 374.0)]"
0,1l_2n-2,"[(92.0, 1.509709802975095), (-96.0, 2.705260340591211)]","[(173.0, 375.0), (310.0, 187.0)]"
0,1l_2n-3,"[(-4.0, 2.2078415037728267), (-167.0, 2.9670597283903604), (181.0, 0.07853981633974483), (-196.0, 3.12413936106985), (-125.0, 2.6790804018112957), (185.0, 0.4276056667386107), (190.0, 0.9162978572970231), (123.0, 1.4486232791552935), (118.0, 1.6406094968746698), (-11.0, 2.356194490192345), (97.0, 1.6144295580947547)]","[(252.99999999999997, 279.0), (340.0, 116.0), (9.0, 464.0), (358.0, 87.0), (307.0, 158.0), (49.0, 468.0), (105.0, 473.0), (166.00000000000003, 406.0), (188.0, 401.0), (270.0, 272.0), (185.0, 380.0)]"
0,1l_2n-4,"[(187.0, 0.10471975511965978)]","[(12.0, 470.0)]"
0,1l_2n-5,"[(164.0, 0.15707963267948966), (110.0, 0.7853981633974483), (73.0, 1.413716694115407), (-109.0, 3.080506129769992), (-7.0, 2.9583330821303884), (38.0, 2.2252947962927703), (23.0, 2.199114857512855), (103.0, 0.47123889803846897), (83.0, 0.20943951023931956), (45.0, 2.0943951023931953), (117.0, 1.4398966328953218), (97.0, 0.6021385919380436), (21.0, 2.356194490192345), (79.0, 1.2479104151759457), (57.0, 1.7540558982543013), (165.0, 1.4398966328953218), (150.0, 1.562069680534925), (91.0, 0.41015237421866746), (-2.0, 2.321287905152458), (-18.0, 2.6354471705114375), (-54.0, 2.9583330821303884), (-87.0, 2.9059732045705586), (143.0, 0.8726646259971648), (95.0, 1.0471975511965976), (93.0, 0.7504915783575618), (-66.0, 3.0630528372500483), (-93.0, 2.722713633111154), (55.0, 0.15707963267948966), (8.0, 2.356194490192345), (-6.0, 2.4609142453120048), (116.0, 0.14835298641951802), (98.0, 1.7016960206944713), (95.0, 1.8675022996339325), (1.0, 2.8448866807507573), (118.0, 1.7453292519943295), (58.0, 1.0733774899765127), (-42.0, 2.8623399732707004), (110.0, 0.05235987755982989), (81.0, 1.980948701013564)]","[(18.0, 447.0), (90.0, 393.0), (162.0, 356.0), (353.0, 174.0), (339.0, 276.0), (255.0, 321.0), (252.0, 306.0), (54.0, 386.0), (24.0, 366.0), (239.99999999999997, 328.0), (164.99999999999997, 400.0), (68.99999999999999, 380.0), (270.0, 304.0), (143.0, 362.0), (201.0, 340.0), (164.99999999999997, 448.0), (179.0, 433.0), (47.0, 374.0), (266.0, 281.0), (302.0, 265.0), (339.0, 229.0), (333.0, 196.0), (100.0, 426.0), (119.99999999999999, 378.0), (86.00000000000001, 376.0), (351.0, 217.0), (312.0, 190.0), (18.0, 338.0), (270.0, 291.0), (282.0, 277.0), (17.0, 399.0), (195.00000000000003, 381.0), (214.0, 378.0), (326.00000000000006, 284.0), (200.0, 401.0), (123.00000000000001, 341.0), (328.0, 241.0), (6.0, 393.0), (227.0, 364.0)]"
0,1l_2n-6,"[(56.0, 1.5882496193148399)]","[(182.0, 339.0)]"
0,1l_2n-7,"[(-42.0, 3.0281462522101616), (189.0, 0.10471975511965978), (48.0, 1.8936822384138476), (-16.0, 2.356194490192345), (42.0, 1.9984019935335073)]","[(347.0, 241.0), (12.0, 472.0), (217.00000000000003, 331.0), (270.0, 267.0), (229.00000000000003, 325.0)]"
0,1l_2n-8,"[(-4.0, 2.9845130209103035), (-45.0, 2.9321531433504737)]","[(342.0, 279.0), (336.0, 238.0)]"
0,1l_2n-9,"[(182.0, 1.0297442586766545), (81.0, 1.736602605734358), (48.0, 0.2879793265790644), (62.0, 1.8762289458939043), (1.0, 1.5533430342749532), (67.0, 1.9896753472735358)]","[(118.00000000000001, 465.0), (199.0, 364.0), (33.0, 331.0), (215.0, 345.0), (178.0, 284.0), (228.00000000000003, 350.0)]"
0,1l_2n-10,"[(93.0, 1.213003830136059), (141.0, 1.9896753472735358), (87.0, 1.0995574287564276), (92.0, 1.6493361431346414), (105.0, 1.1082840750163994), (53.0, 1.7016960206944713), (71.0, 1.5184364492350666), (118.0, 0.9773843811168246), (27.0, 2.2078415037728267), (4.0, 2.2689280275926285), (78.0, 1.806415775814131), (15.0, 2.2252947962927703), (39.0, 2.0856684561332237), (86.0, 0.7853981633974483), (36.0, 1.8500490071139892), (-6.0, 2.3911010752322315), (-83.0, 2.827433388230814), (-57.0, 2.6790804018112957), (138.0, 1.5969762655748114)]","[(139.0, 376.0), (228.00000000000003, 424.0), (126.0, 370.0), (189.0, 375.0), (127.00000000000003, 388.0), (195.00000000000003, 336.0), (174.0, 354.0), (112.0, 401.0), (252.99999999999997, 310.0), (260.0, 287.0), (206.99999999999997, 361.0), (255.0, 298.0), (238.99999999999997, 322.0), (90.0, 369.0), (212.0, 319.0), (274.0, 277.0), (324.0, 200.0), (307.0, 226.0), (183.0, 421.0)]"
