,name,polars,labels
0,3l_1n-1,"[(134.0, 1.3177235852557188), (-21.0, 2.748893571891069)]","[(151.0, 417.0), (315.0, 262.0)]"
0,3l_1n-2,"[(-157.0, 2.897246558310587), (132.0, 0.9773843811168246), (112.0, 1.387536755335492)]","[(332.00000000000006, 126.0), (112.0, 415.0), (159.0, 395.0)]"
0,3l_1n-3,"[(-65.0, 2.7576202181510405), (-12.0, 2.923426497090502), (153.0, 0.29670597283903605)]","[(316.0, 218.0), (335.00000000000006, 271.0), (34.0, 436.0)]"
0,3l_1n-4,"[(-81.0, 2.626720524251466)]","[(301.0, 202.0)]"
0,3l_1n-5,"[(25.0, 2.0158552860534504), (148.0, 1.0122909661567112), (-3.0, 2.6354471705114375), (0.0, 1.5707963267948966)]","[(230.99999999999997, 308.0), (116.0, 431.0), (302.0, 280.0), (180.0, 283.0)]"
0,3l_1n-6,"[(77.0, 1.631882850614698)]","[(186.99999999999997, 360.0)]"
0,3l_1n-7,"[(71.0, 1.710422666954443), (175.0, 1.5271630954950384), (79.0, 0.9162978572970231)]","[(196.0, 354.0), (175.00000000000003, 458.0), (105.0, 362.0)]"
0,3l_1n-8,"[(65.0, 1.911135530933791)]","[(219.00000000000003, 348.0)]"
0,3l_1n-9,"[(-38.0, 3.0892327760299634), (162.0, 1.5271630954950384), (180.0, 0.9773843811168246)]","[(354.00000000000006, 245.0), (175.00000000000003, 445.0), (112.0, 463.0)]"
0,3l_1n-10,"[(114.0, 1.3788101090755203), (-130.0, 2.871066619530672), (26.0, 1.4835298641951802)]","[(158.0, 397.0), (329.0, 153.0), (170.0, 309.0)]"
0,3l_1n-11,"[(58.0, 0.2007128639793479), (96.0, 0.17453292519943295)]","[(23.0, 341.0), (20.0, 379.0)]"
0,3l_1n-12,"[(-91.0, 2.6878070480712677), (187.0, 0.29670597283903605), (106.0, 0.8901179185171081)]","[(308.00000000000006, 192.0), (34.0, 470.0), (102.0, 389.0)]"
0,3l_1n-13,"[(66.0, 0.11344640137963143), (172.0, 1.4049900478554354)]","[(13.000000000000002, 349.0), (161.00000000000003, 455.0)]"
0,3l_1n-14,"[(155.0, 0.5846852994181004), (101.0, 0.7155849933176751), (32.0, 2.0943951023931953)]","[(67.00000000000001, 438.0), (82.0, 384.0), (239.99999999999997, 315.0)]"
0,3l_1n-15,"[(-7.0, 2.17293491873294), (-141.0, 3.097959422289935), (199.0, 0.0), (30.0, 1.7016960206944713)]","[(249.0, 276.0), (355.0, 142.0), (0.0, 482.0), (195.00000000000003, 313.0)]"
